Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,"Olsson, Mr. Oscar Wilhelm",male,32.0,0,0,347079,7.775,,S
2,"Malachard, Mr. Noel",male,,0,0,237735,15.0458,D,C
2,"Phillips, Mr. Escott Robert",male,43.0,0,1,S.O./P.P. 2,21.0,,S
3,"Pokrnic, Mr. Tome",male,24.0,0,0,315092,8.6625,,S
3,"McCarthy, Miss. Catherine Katie""""",female,,0,0,383123,7.75,,Q
1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,1,1,112901,26.55,B26,S
1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,C22 C26,S
3,"Aks, Master. Philip Frank",male,0.83,0,1,392091,9.35,,S
1,"Hays, Mr. Charles Melville",male,55.0,1,1,12749,93.5,B69,S
3,"Hansen, Mrs. Claus Peter (Jennie L Howard)",female,45.0,1,0,350026,14.1083,,S
